きょう,Today
きのう,Yesterday
あした,Tomorrow
おととい,Day before Yesterday
あちって,Day after Tomorrow
けさ,This morning
よる,Night
ゆうべ,Last night
げつようび,Monday
かようび,Tuesday
すいようび,Wednesday
もくようび,Thursday
きんようび,Friday
どようび,Saturday
にちようび,Sunday
せんしゅう,Last Week
こんしゅう,This week
らいしゅう,Next week
せんせんしゅう,Week before last
さらいしゅう,Week after next
せんげつ,Last month
こんげつ,This month
らいげつ,Next month
せんせんげつ,Month before last
さらいげつ,Month after next
～がつ,Month suffix
いちがつ,Jan
にがつ,Feb
さんがつ,Mar
しがつぃ,Apr
ごがつ,May
ろくがつ,Jun
しちがつ,Jul
はちがつ,Aug
くがつ,Sep
じゅうがつ,Oct
じゅういちがつ,Nov
じゅうにがつ,Dec
きょねん,Last year
ことし,This year
らいねん,Next year
おととし,Year before last
さらいねん,Year after next
まいにち,Every Day
まいしゅう,Every week
まいつき,Every month
まいとし,Every year
ふゆ,Winter
はる,Spring
なつ,Summer
あき,Autumn
～じ,~ o'clock
～はん,Half past ~
～ふん,Minute counter
いま,Now
なんじ,What time?
いちじ,1 o'clock
よじ,4 o'clock
しちじ,7 o'clock
くじ,9 o'clock
いっぷん,1 minute
にふん,2 minutes
さんふん,3 minutes
よんふん,4 minutes
ごふん,5 minutes
ろっぷん,6 minutes
ななふん,7 minutes
はっぷん,8 minutes
きゅうふん,9 minutes
じゅっぷん,10 minutes
ごぜん,AM
ごご,PM
から,From
まで,Until
ついたち,1st of month
ふつか,2nd of month
みっか,3rd of month
よっか,4th of month
いつか,5th of month
むいか,6th of month
なのか,7th of month
ようか,8th of month
ここのか,9th of month
とうか,10th of month
じゅうよっか,14th of month
はつか,20th of month
にじゅうよっか,24th of month
～にち,~day of month counter
なんにち,What day of the month?
～ねん,~n years
なんねん,What year?
