おとうさん,Dad
おかあさん,Mum
ちち,My dad
はは,My mum
おにいさん,older brother
おねえさん,older sister
あに,My older brother
あね,My older sister
おとうとさん,younger brother
いもうとさん,younger sister
おとうと,My younger brother
いもうと,My younger sister
～ちゃん,Name suffix (diminutive)
おじいさん,Grandfather
おばあさん,Grandmother
おじいちゃん,Grandpa
おばあさゃん,Gran
おじさん,Uncle
おばさん,Aunt
いとこ,Cousin
ともだち,Friend
しゅじん,My husband
ごしゅじん,Your husband
だんな,My husband
だんなさん,Your husband
つま,My wife
おくさん,Your wife
かれ,He / Boyfriend
かのじょ,Her / Girlfriend
